"name","state","fips","pop2010","pop2000","age_under_5","age_under_18","age_over_65","female","white","black","native","asian","pac_isl","two_plus_races","hispanic","white_not_hispanic","no_move_in_one_plus_year","foreign_born","foreign_spoken_at_home","hs_grad","bachelors","veterans","mean_work_travel","housing_units","home_ownership","housing_multi_unit","median_val_owner_occupied","households","persons_per_household","per_capita_income","median_household_income","poverty","private_nonfarm_establishments","private_nonfarm_employment","percent_change_private_nonfarm_employment","nonemployment_establishments","firms","black_owned_firms","native_owned_firms","asian_owned_firms","pac_isl_owned_firms","hispanic_owned_firms","women_owned_firms","manufacturer_shipments_2007","mercent_whole_sales_2007","sales","sales_per_capita","accommodation_food_service","building_permits","fed_spending","area","density","smoking_ban"
"Adair County","Iowa",19001,7682,8243,5.8,22.5,21.4,50.4,98.4,0.1,0.1,0.3,0,0.7,1.3,97.7,91.4,0.5,2.3,91.4,13.6,791,21,3698,75.8,9.6,93800,3409,2.28,23497,45202,10.6,176,1591,-30.9,595,745,NA,NA,NA,NA,NA,NA,0,29361,49644,6546,4128,4,78811,569.27,13.5,"none"
"Adair County","Iowa",19001,7682,8243,5.8,22.5,21.4,50.4,98.4,0.1,0.1,0.3,0,0.7,1.3,97.7,91.4,0.5,2.3,91.4,13.6,791,21,3698,75.8,9.6,93800,3409,2.28,23497,45202,10.6,176,1591,-30.9,595,745,NA,NA,NA,NA,NA,NA,0,29361,49644,6546,4128,4,78811,569.27,13.5,"comprehensive"
"Adair County","Kentucky",21001,18656,17244,6.3,22.5,15.3,50.6,94.9,2.7,0.2,0.2,NA,1.1,1.7,94.1,84.9,0.7,3.7,68.7,14.4,1321,23.1,8568,74.8,6.1,80000,7272,2.41,15790,29834,21.3,311,4093,19.5,1513,1974,NA,NA,NA,NA,NA,17.6,0,54740,137063,7655,9057,8,200808,405.28,46,"none"
"Adair County","Kentucky",21001,18656,17244,6.3,22.5,15.3,50.6,94.9,2.7,0.2,0.2,NA,1.1,1.7,94.1,84.9,0.7,3.7,68.7,14.4,1321,23.1,8568,74.8,6.1,80000,7272,2.41,15790,29834,21.3,311,4093,19.5,1513,1974,NA,NA,NA,NA,NA,17.6,0,54740,137063,7655,9057,8,200808,405.28,46,"none"
"Adair County","Kentucky",21001,18656,17244,6.3,22.5,15.3,50.6,94.9,2.7,0.2,0.2,NA,1.1,1.7,94.1,84.9,0.7,3.7,68.7,14.4,1321,23.1,8568,74.8,6.1,80000,7272,2.41,15790,29834,21.3,311,4093,19.5,1513,1974,NA,NA,NA,NA,NA,17.6,0,54740,137063,7655,9057,8,200808,405.28,46,"none"
"Adair County","Kentucky",21001,18656,17244,6.3,22.5,15.3,50.6,94.9,2.7,0.2,0.2,NA,1.1,1.7,94.1,84.9,0.7,3.7,68.7,14.4,1321,23.1,8568,74.8,6.1,80000,7272,2.41,15790,29834,21.3,311,4093,19.5,1513,1974,NA,NA,NA,NA,NA,17.6,0,54740,137063,7655,9057,8,200808,405.28,46,"comprehensive"
"Adair County","Oklahoma",40001,22683,21038,7.2,28,12.9,50,43,0.2,43.3,0.6,NA,10.5,5.3,42.1,95.6,2.1,6.5,76.5,10.6,1907,25.2,9142,71.8,6.2,74100,7919,2.81,13732,29811,26.5,227,3023,-11.1,1369,1533,NA,26.4,NA,NA,NA,22,414425,NA,108389,4941,6082,30,234965,573.48,39.6,"none"
"Adair County","Oklahoma",40001,22683,21038,7.2,28,12.9,50,43,0.2,43.3,0.6,NA,10.5,5.3,42.1,95.6,2.1,6.5,76.5,10.6,1907,25.2,9142,71.8,6.2,74100,7919,2.81,13732,29811,26.5,227,3023,-11.1,1369,1533,NA,26.4,NA,NA,NA,22,414425,NA,108389,4941,6082,30,234965,573.48,39.6,"none"
"Adair County","Oklahoma",40001,22683,21038,7.2,28,12.9,50,43,0.2,43.3,0.6,NA,10.5,5.3,42.1,95.6,2.1,6.5,76.5,10.6,1907,25.2,9142,71.8,6.2,74100,7919,2.81,13732,29811,26.5,227,3023,-11.1,1369,1533,NA,26.4,NA,NA,NA,22,414425,NA,108389,4941,6082,30,234965,573.48,39.6,"none"
"Adair County","Oklahoma",40001,22683,21038,7.2,28,12.9,50,43,0.2,43.3,0.6,NA,10.5,5.3,42.1,95.6,2.1,6.5,76.5,10.6,1907,25.2,9142,71.8,6.2,74100,7919,2.81,13732,29811,26.5,227,3023,-11.1,1369,1533,NA,26.4,NA,NA,NA,22,414425,NA,108389,4941,6082,30,234965,573.48,39.6,"comprehensive"
"Adams County","Indiana",18001,34387,33625,9.3,31.2,13.8,50.6,97,0.3,0.2,0.2,NA,0.9,4.1,94.6,89,0.9,16.1,82.8,12.2,2168,21.8,13014,78.3,13,111700,12243,2.76,19089,43317,16.3,728,11848,-17.4,2699,3173,NA,NA,NA,NA,NA,18.6,2127689,NA,369895,10928,27069,44,196561,339.03,101.4,"none"
"Adams County","Indiana",18001,34387,33625,9.3,31.2,13.8,50.6,97,0.3,0.2,0.2,NA,0.9,4.1,94.6,89,0.9,16.1,82.8,12.2,2168,21.8,13014,78.3,13,111700,12243,2.76,19089,43317,16.3,728,11848,-17.4,2699,3173,NA,NA,NA,NA,NA,18.6,2127689,NA,369895,10928,27069,44,196561,339.03,101.4,"comprehensive"
"Adams County","Indiana",18001,34387,33625,9.3,31.2,13.8,50.6,97,0.3,0.2,0.2,NA,0.9,4.1,94.6,89,0.9,16.1,82.8,12.2,2168,21.8,13014,78.3,13,111700,12243,2.76,19089,43317,16.3,728,11848,-17.4,2699,3173,NA,NA,NA,NA,NA,18.6,2127689,NA,369895,10928,27069,44,196561,339.03,101.4,"partial"
"Adams County","Indiana",18001,34387,33625,9.3,31.2,13.8,50.6,97,0.3,0.2,0.2,NA,0.9,4.1,94.6,89,0.9,16.1,82.8,12.2,2168,21.8,13014,78.3,13,111700,12243,2.76,19089,43317,16.3,728,11848,-17.4,2699,3173,NA,NA,NA,NA,NA,18.6,2127689,NA,369895,10928,27069,44,196561,339.03,101.4,"none"
"Adams County","Indiana",18001,34387,33625,9.3,31.2,13.8,50.6,97,0.3,0.2,0.2,NA,0.9,4.1,94.6,89,0.9,16.1,82.8,12.2,2168,21.8,13014,78.3,13,111700,12243,2.76,19089,43317,16.3,728,11848,-17.4,2699,3173,NA,NA,NA,NA,NA,18.6,2127689,NA,369895,10928,27069,44,196561,339.03,101.4,"comprehensive"
"Adams County","Indiana",18001,34387,33625,9.3,31.2,13.8,50.6,97,0.3,0.2,0.2,NA,0.9,4.1,94.6,89,0.9,16.1,82.8,12.2,2168,21.8,13014,78.3,13,111700,12243,2.76,19089,43317,16.3,728,11848,-17.4,2699,3173,NA,NA,NA,NA,NA,18.6,2127689,NA,369895,10928,27069,44,196561,339.03,101.4,"none"
"Adams County","Indiana",18001,34387,33625,9.3,31.2,13.8,50.6,97,0.3,0.2,0.2,NA,0.9,4.1,94.6,89,0.9,16.1,82.8,12.2,2168,21.8,13014,78.3,13,111700,12243,2.76,19089,43317,16.3,728,11848,-17.4,2699,3173,NA,NA,NA,NA,NA,18.6,2127689,NA,369895,10928,27069,44,196561,339.03,101.4,"partial"
"Adams County","Indiana",18001,34387,33625,9.3,31.2,13.8,50.6,97,0.3,0.2,0.2,NA,0.9,4.1,94.6,89,0.9,16.1,82.8,12.2,2168,21.8,13014,78.3,13,111700,12243,2.76,19089,43317,16.3,728,11848,-17.4,2699,3173,NA,NA,NA,NA,NA,18.6,2127689,NA,369895,10928,27069,44,196561,339.03,101.4,"none"
"Adams County","Indiana",18001,34387,33625,9.3,31.2,13.8,50.6,97,0.3,0.2,0.2,NA,0.9,4.1,94.6,89,0.9,16.1,82.8,12.2,2168,21.8,13014,78.3,13,111700,12243,2.76,19089,43317,16.3,728,11848,-17.4,2699,3173,NA,NA,NA,NA,NA,18.6,2127689,NA,369895,10928,27069,44,196561,339.03,101.4,"partial"
"Adams County","Indiana",18001,34387,33625,9.3,31.2,13.8,50.6,97,0.3,0.2,0.2,NA,0.9,4.1,94.6,89,0.9,16.1,82.8,12.2,2168,21.8,13014,78.3,13,111700,12243,2.76,19089,43317,16.3,728,11848,-17.4,2699,3173,NA,NA,NA,NA,NA,18.6,2127689,NA,369895,10928,27069,44,196561,339.03,101.4,"partial"
"Adams County","Indiana",18001,34387,33625,9.3,31.2,13.8,50.6,97,0.3,0.2,0.2,NA,0.9,4.1,94.6,89,0.9,16.1,82.8,12.2,2168,21.8,13014,78.3,13,111700,12243,2.76,19089,43317,16.3,728,11848,-17.4,2699,3173,NA,NA,NA,NA,NA,18.6,2127689,NA,369895,10928,27069,44,196561,339.03,101.4,"comprehensive"
"Adams County","Indiana",18001,34387,33625,9.3,31.2,13.8,50.6,97,0.3,0.2,0.2,NA,0.9,4.1,94.6,89,0.9,16.1,82.8,12.2,2168,21.8,13014,78.3,13,111700,12243,2.76,19089,43317,16.3,728,11848,-17.4,2699,3173,NA,NA,NA,NA,NA,18.6,2127689,NA,369895,10928,27069,44,196561,339.03,101.4,"comprehensive"
"Adams County","Illinois",17001,67103,68277,6.3,23,17.5,51.3,93.7,3.5,0.2,0.7,NA,1.6,1.2,93,86.2,1.1,2.4,89.2,21.1,6420,16.6,29842,73.8,16.6,98400,27149,2.38,24308,43824,12.3,1855,29460,-4.9,3771,5561,NA,0.5,1.5,NA,NA,24.6,NA,NA,928289,13888,NA,139,570465,855.2,78.5,"none"
"Adams County","Illinois",17001,67103,68277,6.3,23,17.5,51.3,93.7,3.5,0.2,0.7,NA,1.6,1.2,93,86.2,1.1,2.4,89.2,21.1,6420,16.6,29842,73.8,16.6,98400,27149,2.38,24308,43824,12.3,1855,29460,-4.9,3771,5561,NA,0.5,1.5,NA,NA,24.6,NA,NA,928289,13888,NA,139,570465,855.2,78.5,"comprehensive"
"Adams County","Illinois",17001,67103,68277,6.3,23,17.5,51.3,93.7,3.5,0.2,0.7,NA,1.6,1.2,93,86.2,1.1,2.4,89.2,21.1,6420,16.6,29842,73.8,16.6,98400,27149,2.38,24308,43824,12.3,1855,29460,-4.9,3771,5561,NA,0.5,1.5,NA,NA,24.6,NA,NA,928289,13888,NA,139,570465,855.2,78.5,"partial"
"Adams County","Illinois",17001,67103,68277,6.3,23,17.5,51.3,93.7,3.5,0.2,0.7,NA,1.6,1.2,93,86.2,1.1,2.4,89.2,21.1,6420,16.6,29842,73.8,16.6,98400,27149,2.38,24308,43824,12.3,1855,29460,-4.9,3771,5561,NA,0.5,1.5,NA,NA,24.6,NA,NA,928289,13888,NA,139,570465,855.2,78.5,"none"
"Adams County","Illinois",17001,67103,68277,6.3,23,17.5,51.3,93.7,3.5,0.2,0.7,NA,1.6,1.2,93,86.2,1.1,2.4,89.2,21.1,6420,16.6,29842,73.8,16.6,98400,27149,2.38,24308,43824,12.3,1855,29460,-4.9,3771,5561,NA,0.5,1.5,NA,NA,24.6,NA,NA,928289,13888,NA,139,570465,855.2,78.5,"comprehensive"
"Adams County","Illinois",17001,67103,68277,6.3,23,17.5,51.3,93.7,3.5,0.2,0.7,NA,1.6,1.2,93,86.2,1.1,2.4,89.2,21.1,6420,16.6,29842,73.8,16.6,98400,27149,2.38,24308,43824,12.3,1855,29460,-4.9,3771,5561,NA,0.5,1.5,NA,NA,24.6,NA,NA,928289,13888,NA,139,570465,855.2,78.5,"none"
"Adams County","Illinois",17001,67103,68277,6.3,23,17.5,51.3,93.7,3.5,0.2,0.7,NA,1.6,1.2,93,86.2,1.1,2.4,89.2,21.1,6420,16.6,29842,73.8,16.6,98400,27149,2.38,24308,43824,12.3,1855,29460,-4.9,3771,5561,NA,0.5,1.5,NA,NA,24.6,NA,NA,928289,13888,NA,139,570465,855.2,78.5,"partial"
"Adams County","Illinois",17001,67103,68277,6.3,23,17.5,51.3,93.7,3.5,0.2,0.7,NA,1.6,1.2,93,86.2,1.1,2.4,89.2,21.1,6420,16.6,29842,73.8,16.6,98400,27149,2.38,24308,43824,12.3,1855,29460,-4.9,3771,5561,NA,0.5,1.5,NA,NA,24.6,NA,NA,928289,13888,NA,139,570465,855.2,78.5,"none"
"Adams County","Illinois",17001,67103,68277,6.3,23,17.5,51.3,93.7,3.5,0.2,0.7,NA,1.6,1.2,93,86.2,1.1,2.4,89.2,21.1,6420,16.6,29842,73.8,16.6,98400,27149,2.38,24308,43824,12.3,1855,29460,-4.9,3771,5561,NA,0.5,1.5,NA,NA,24.6,NA,NA,928289,13888,NA,139,570465,855.2,78.5,"partial"
"Adams County","Illinois",17001,67103,68277,6.3,23,17.5,51.3,93.7,3.5,0.2,0.7,NA,1.6,1.2,93,86.2,1.1,2.4,89.2,21.1,6420,16.6,29842,73.8,16.6,98400,27149,2.38,24308,43824,12.3,1855,29460,-4.9,3771,5561,NA,0.5,1.5,NA,NA,24.6,NA,NA,928289,13888,NA,139,570465,855.2,78.5,"partial"
"Adams County","Illinois",17001,67103,68277,6.3,23,17.5,51.3,93.7,3.5,0.2,0.7,NA,1.6,1.2,93,86.2,1.1,2.4,89.2,21.1,6420,16.6,29842,73.8,16.6,98400,27149,2.38,24308,43824,12.3,1855,29460,-4.9,3771,5561,NA,0.5,1.5,NA,NA,24.6,NA,NA,928289,13888,NA,139,570465,855.2,78.5,"comprehensive"
"Adams County","Illinois",17001,67103,68277,6.3,23,17.5,51.3,93.7,3.5,0.2,0.7,NA,1.6,1.2,93,86.2,1.1,2.4,89.2,21.1,6420,16.6,29842,73.8,16.6,98400,27149,2.38,24308,43824,12.3,1855,29460,-4.9,3771,5561,NA,0.5,1.5,NA,NA,24.6,NA,NA,928289,13888,NA,139,570465,855.2,78.5,"comprehensive"
"Adams County","North Dakota",38001,2343,2593,5,19,24.2,51.7,97.3,0.3,0.7,0.4,NA,1.1,0.9,96.7,86,0.9,2.7,85.3,18.4,220,12.8,1377,67.8,20.8,81300,1015,2.08,20118,35966,10.6,98,741,-1.9,211,NA,NA,NA,NA,NA,NA,NA,0,31015,30739,13406,NA,2,43890,987.62,2.4,"none"
"Adams County","North Dakota",38001,2343,2593,5,19,24.2,51.7,97.3,0.3,0.7,0.4,NA,1.1,0.9,96.7,86,0.9,2.7,85.3,18.4,220,12.8,1377,67.8,20.8,81300,1015,2.08,20118,35966,10.6,98,741,-1.9,211,NA,NA,NA,NA,NA,NA,NA,0,31015,30739,13406,NA,2,43890,987.62,2.4,"comprehensive"
"Adams County","North Dakota",38001,2343,2593,5,19,24.2,51.7,97.3,0.3,0.7,0.4,NA,1.1,0.9,96.7,86,0.9,2.7,85.3,18.4,220,12.8,1377,67.8,20.8,81300,1015,2.08,20118,35966,10.6,98,741,-1.9,211,NA,NA,NA,NA,NA,NA,NA,0,31015,30739,13406,NA,2,43890,987.62,2.4,"partial"
"Adams County","North Dakota",38001,2343,2593,5,19,24.2,51.7,97.3,0.3,0.7,0.4,NA,1.1,0.9,96.7,86,0.9,2.7,85.3,18.4,220,12.8,1377,67.8,20.8,81300,1015,2.08,20118,35966,10.6,98,741,-1.9,211,NA,NA,NA,NA,NA,NA,NA,0,31015,30739,13406,NA,2,43890,987.62,2.4,"none"
"Adams County","North Dakota",38001,2343,2593,5,19,24.2,51.7,97.3,0.3,0.7,0.4,NA,1.1,0.9,96.7,86,0.9,2.7,85.3,18.4,220,12.8,1377,67.8,20.8,81300,1015,2.08,20118,35966,10.6,98,741,-1.9,211,NA,NA,NA,NA,NA,NA,NA,0,31015,30739,13406,NA,2,43890,987.62,2.4,"comprehensive"
"Adams County","North Dakota",38001,2343,2593,5,19,24.2,51.7,97.3,0.3,0.7,0.4,NA,1.1,0.9,96.7,86,0.9,2.7,85.3,18.4,220,12.8,1377,67.8,20.8,81300,1015,2.08,20118,35966,10.6,98,741,-1.9,211,NA,NA,NA,NA,NA,NA,NA,0,31015,30739,13406,NA,2,43890,987.62,2.4,"none"
"Adams County","North Dakota",38001,2343,2593,5,19,24.2,51.7,97.3,0.3,0.7,0.4,NA,1.1,0.9,96.7,86,0.9,2.7,85.3,18.4,220,12.8,1377,67.8,20.8,81300,1015,2.08,20118,35966,10.6,98,741,-1.9,211,NA,NA,NA,NA,NA,NA,NA,0,31015,30739,13406,NA,2,43890,987.62,2.4,"partial"
"Adams County","North Dakota",38001,2343,2593,5,19,24.2,51.7,97.3,0.3,0.7,0.4,NA,1.1,0.9,96.7,86,0.9,2.7,85.3,18.4,220,12.8,1377,67.8,20.8,81300,1015,2.08,20118,35966,10.6,98,741,-1.9,211,NA,NA,NA,NA,NA,NA,NA,0,31015,30739,13406,NA,2,43890,987.62,2.4,"none"
"Adams County","North Dakota",38001,2343,2593,5,19,24.2,51.7,97.3,0.3,0.7,0.4,NA,1.1,0.9,96.7,86,0.9,2.7,85.3,18.4,220,12.8,1377,67.8,20.8,81300,1015,2.08,20118,35966,10.6,98,741,-1.9,211,NA,NA,NA,NA,NA,NA,NA,0,31015,30739,13406,NA,2,43890,987.62,2.4,"partial"
"Adams County","North Dakota",38001,2343,2593,5,19,24.2,51.7,97.3,0.3,0.7,0.4,NA,1.1,0.9,96.7,86,0.9,2.7,85.3,18.4,220,12.8,1377,67.8,20.8,81300,1015,2.08,20118,35966,10.6,98,741,-1.9,211,NA,NA,NA,NA,NA,NA,NA,0,31015,30739,13406,NA,2,43890,987.62,2.4,"partial"
"Adams County","North Dakota",38001,2343,2593,5,19,24.2,51.7,97.3,0.3,0.7,0.4,NA,1.1,0.9,96.7,86,0.9,2.7,85.3,18.4,220,12.8,1377,67.8,20.8,81300,1015,2.08,20118,35966,10.6,98,741,-1.9,211,NA,NA,NA,NA,NA,NA,NA,0,31015,30739,13406,NA,2,43890,987.62,2.4,"comprehensive"
"Adams County","North Dakota",38001,2343,2593,5,19,24.2,51.7,97.3,0.3,0.7,0.4,NA,1.1,0.9,96.7,86,0.9,2.7,85.3,18.4,220,12.8,1377,67.8,20.8,81300,1015,2.08,20118,35966,10.6,98,741,-1.9,211,NA,NA,NA,NA,NA,NA,NA,0,31015,30739,13406,NA,2,43890,987.62,2.4,"comprehensive"
"Adams County","Ohio",39001,28550,27330,6.7,25,14.8,50.6,97.7,0.3,0.4,0.1,NA,1.3,0.9,97.1,88.7,0.4,3,74.7,10.7,2028,31.3,12978,72.8,5.9,97600,10754,2.63,17693,32791,23,388,4227,-5.3,1911,2650,NA,NA,NA,NA,NA,24.6,133934,21129,210327,7485,19039,0,313237,583.87,48.9,"none"
"Adams County","Ohio",39001,28550,27330,6.7,25,14.8,50.6,97.7,0.3,0.4,0.1,NA,1.3,0.9,97.1,88.7,0.4,3,74.7,10.7,2028,31.3,12978,72.8,5.9,97600,10754,2.63,17693,32791,23,388,4227,-5.3,1911,2650,NA,NA,NA,NA,NA,24.6,133934,21129,210327,7485,19039,0,313237,583.87,48.9,"comprehensive"
"Adams County","Ohio",39001,28550,27330,6.7,25,14.8,50.6,97.7,0.3,0.4,0.1,NA,1.3,0.9,97.1,88.7,0.4,3,74.7,10.7,2028,31.3,12978,72.8,5.9,97600,10754,2.63,17693,32791,23,388,4227,-5.3,1911,2650,NA,NA,NA,NA,NA,24.6,133934,21129,210327,7485,19039,0,313237,583.87,48.9,"partial"
"Adams County","Ohio",39001,28550,27330,6.7,25,14.8,50.6,97.7,0.3,0.4,0.1,NA,1.3,0.9,97.1,88.7,0.4,3,74.7,10.7,2028,31.3,12978,72.8,5.9,97600,10754,2.63,17693,32791,23,388,4227,-5.3,1911,2650,NA,NA,NA,NA,NA,24.6,133934,21129,210327,7485,19039,0,313237,583.87,48.9,"none"
"Adams County","Ohio",39001,28550,27330,6.7,25,14.8,50.6,97.7,0.3,0.4,0.1,NA,1.3,0.9,97.1,88.7,0.4,3,74.7,10.7,2028,31.3,12978,72.8,5.9,97600,10754,2.63,17693,32791,23,388,4227,-5.3,1911,2650,NA,NA,NA,NA,NA,24.6,133934,21129,210327,7485,19039,0,313237,583.87,48.9,"comprehensive"
"Adams County","Ohio",39001,28550,27330,6.7,25,14.8,50.6,97.7,0.3,0.4,0.1,NA,1.3,0.9,97.1,88.7,0.4,3,74.7,10.7,2028,31.3,12978,72.8,5.9,97600,10754,2.63,17693,32791,23,388,4227,-5.3,1911,2650,NA,NA,NA,NA,NA,24.6,133934,21129,210327,7485,19039,0,313237,583.87,48.9,"none"
"Adams County","Ohio",39001,28550,27330,6.7,25,14.8,50.6,97.7,0.3,0.4,0.1,NA,1.3,0.9,97.1,88.7,0.4,3,74.7,10.7,2028,31.3,12978,72.8,5.9,97600,10754,2.63,17693,32791,23,388,4227,-5.3,1911,2650,NA,NA,NA,NA,NA,24.6,133934,21129,210327,7485,19039,0,313237,583.87,48.9,"partial"
"Adams County","Ohio",39001,28550,27330,6.7,25,14.8,50.6,97.7,0.3,0.4,0.1,NA,1.3,0.9,97.1,88.7,0.4,3,74.7,10.7,2028,31.3,12978,72.8,5.9,97600,10754,2.63,17693,32791,23,388,4227,-5.3,1911,2650,NA,NA,NA,NA,NA,24.6,133934,21129,210327,7485,19039,0,313237,583.87,48.9,"none"
"Adams County","Ohio",39001,28550,27330,6.7,25,14.8,50.6,97.7,0.3,0.4,0.1,NA,1.3,0.9,97.1,88.7,0.4,3,74.7,10.7,2028,31.3,12978,72.8,5.9,97600,10754,2.63,17693,32791,23,388,4227,-5.3,1911,2650,NA,NA,NA,NA,NA,24.6,133934,21129,210327,7485,19039,0,313237,583.87,48.9,"partial"
"Adams County","Ohio",39001,28550,27330,6.7,25,14.8,50.6,97.7,0.3,0.4,0.1,NA,1.3,0.9,97.1,88.7,0.4,3,74.7,10.7,2028,31.3,12978,72.8,5.9,97600,10754,2.63,17693,32791,23,388,4227,-5.3,1911,2650,NA,NA,NA,NA,NA,24.6,133934,21129,210327,7485,19039,0,313237,583.87,48.9,"partial"
"Adams County","Ohio",39001,28550,27330,6.7,25,14.8,50.6,97.7,0.3,0.4,0.1,NA,1.3,0.9,97.1,88.7,0.4,3,74.7,10.7,2028,31.3,12978,72.8,5.9,97600,10754,2.63,17693,32791,23,388,4227,-5.3,1911,2650,NA,NA,NA,NA,NA,24.6,133934,21129,210327,7485,19039,0,313237,583.87,48.9,"comprehensive"
"Adams County","Ohio",39001,28550,27330,6.7,25,14.8,50.6,97.7,0.3,0.4,0.1,NA,1.3,0.9,97.1,88.7,0.4,3,74.7,10.7,2028,31.3,12978,72.8,5.9,97600,10754,2.63,17693,32791,23,388,4227,-5.3,1911,2650,NA,NA,NA,NA,NA,24.6,133934,21129,210327,7485,19039,0,313237,583.87,48.9,"comprehensive"
"Adams County","Colorado",8001,441603,363857,8.5,28.6,8.3,49.7,73.3,3.1,1.3,3.6,0.1,4,38,53.2,81.3,15.1,27.2,81,20.3,27878,28.4,163136,68.4,23.9,196100,147951,2.85,23999,54666,13.9,8214,134044,5.1,24908,32777,1.6,NA,3.8,NA,14,29.8,6161531,11193392,4848908,11556,578044,662,2019758,1167.65,378.2,"none"
"Adams County","Colorado",8001,441603,363857,8.5,28.6,8.3,49.7,73.3,3.1,1.3,3.6,0.1,4,38,53.2,81.3,15.1,27.2,81,20.3,27878,28.4,163136,68.4,23.9,196100,147951,2.85,23999,54666,13.9,8214,134044,5.1,24908,32777,1.6,NA,3.8,NA,14,29.8,6161531,11193392,4848908,11556,578044,662,2019758,1167.65,378.2,"comprehensive"
